GP,PTS,FG%,3P%,FT%,REB,AST,STL,BLK,TOV,TARGET_5Yrs
56,9,48,42,76,2,1,0,0,1,NO
70,5,43,0,52,5,1,1,0,1,YES
61,6,45,38,84,2,1,0,0,1,YES
48,3,37,32,57,1,3,1,0,1,NO
79,3,33,21,82,3,1,1,0,1,YES
52,2,41,39,100,2,1,0,0,0,NO
63,6,48,0,53,5,1,0,1,1,YES
11,5,42,20,89,1,1,1,0,0,NO
63,4,44,26,67,2,0,0,0,1,NO
47,3,37,38,59,1,1,0,0,1,NO
73,4,38,14,77,2,1,1,0,1,YES
51,4,40,38,72,2,1,0,0,1,NO
47,4,58,0,64,3,0,0,0,0,NO
57,4,51,0,67,4,1,0,1,1,YES
46,3,52,0,61,3,0,0,1,0,NO
41,3,38,28,72,1,1,0,0,1,NO
30,6,40,33,72,4,2,1,0,1,NO
40,5,48,0,77,3,0,0,0,1,YES
48,2,38,17,56,1,1,0,0,1,NO
35,3,38,25,72,1,1,0,0,1,NO
27,3,30,23,90,0,1,0,0,1,NO
23,3,35,30,100,1,0,0,0,0,YES
66,13,42,38,76,3,4,1,0,3,YES
56,13,43,31,76,4,2,1,0,2,NO
59,10,40,31,80,3,3,2,0,2,YES
63,10,45,34,55,5,2,1,1,1,YES
66,12,37,31,79,4,4,1,0,2,YES
65,12,45,38,83,3,4,1,0,2,YES
66,13,44,41,87,2,2,1,0,2,YES
64,8,49,38,77,5,1,1,0,1,YES
22,4,31,11,82,2,2,1,0,1,NO
46,10,59,0,67,8,1,1,1,1,YES
66,5,37,35,68,4,1,1,1,1,NO
66,9,41,27,70,5,1,1,1,1,YES
33,6,40,8,77,2,3,0,0,2,YES
63,7,40,35,72,4,1,1,1,1,YES
65,7,39,28,78,1,2,1,0,2,YES
61,8,39,36,83,1,2,1,0,1,YES
51,6,45,15,87,1,3,1,0,1,NO
34,5,45,32,63,2,1,0,0,1,NO
56,6,51,33,72,4,1,1,0,1,NO
59,7,43,33,73,2,1,1,0,1,YES
41,4,47,0,79,4,1,0,0,1,YES
42,4,45,0,84,3,0,0,0,1,YES
43,5,51,0,65,4,0,1,0,1,NO
37,4,42,34,62,4,0,1,1,1,NO
55,3,55,0,71,3,1,1,2,1,NO
42,5,42,0,56,3,0,0,1,1,NO
19,3,39,20,82,1,2,0,0,1,NO
44,4,37,29,71,1,1,0,0,1,NO
64,4,40,29,71,1,2,0,0,1,YES
46,5,51,33,75,3,1,0,0,0,YES
42,5,47,26,82,2,1,0,0,1,YES
38,4,33,20,70,1,1,0,0,1,NO
40,4,39,37,92,1,1,0,0,1,NO
26,4,43,36,40,2,1,0,0,1,YES
26,2,42,0,50,2,0,0,1,0,NO
26,3,39,38,50,1,1,0,0,1,NO
44,3,33,26,59,1,1,0,0,1,NO
38,3,38,38,100,1,1,0,0,1,YES
42,3,41,18,77,1,0,0,0,0,YES
36,3,45,0,67,2,0,0,0,0,NO
82,23,51,29,64,12,4,1,1,3,YES
69,16,41,30,77,5,8,2,1,4,YES
82,10,50,39,77,6,2,1,0,1,YES
81,14,43,17,69,9,3,1,1,3,YES
80,9,55,0,62,8,1,1,1,1,YES
79,9,40,36,70,3,2,1,1,1,YES
65,8,58,0,56,7,1,1,1,1,YES
42,12,38,26,87,3,3,1,0,2,NO
78,7,43,32,81,4,2,1,0,1,YES
81,7,42,28,74,3,4,1,0,2,YES
80,10,45,42,81,3,1,0,0,1,YES
61,8,45,30,76,4,1,1,0,1,YES
78,7,52,0,60,5,1,0,1,1,YES
15,5,44,44,77,1,2,0,0,1,NO
81,6,39,32,77,3,1,1,0,1,YES
58,4,44,0,66,3,1,0,2,1,YES
54,6,37,37,76,3,2,1,0,1,NO
72,5,49,47,71,2,1,0,0,1,YES
52,6,56,0,71,4,1,0,1,1,YES
65,5,55,0,67,4,1,1,1,1,YES
60,4,43,0,56,3,0,0,1,1,YES
49,4,38,24,73,3,1,0,0,0,NO
66,3,41,36,71,1,0,0,0,0,YES
42,4,42,38,59,2,2,0,0,1,NO
43,2,37,30,57,1,2,0,0,1,YES
42,4,36,28,79,2,1,0,0,1,NO
49,4,66,0,70,2,1,0,0,0,YES
18,1,53,0,50,2,0,0,0,0,YES
38,3,46,42,59,1,1,0,0,1,NO
22,2,36,10,53,1,1,0,0,1,NO
41,2,49,0,74,1,0,0,0,1,NO
72,20,46,26,75,5,6,2,0,3,YES
80,18,46,44,89,5,6,2,0,3,YES
82,16,37,37,82,3,6,1,0,2,YES
22,3,28,26,88,2,1,0,0,0,NO
81,14,42,36,83,2,4,1,0,3,NO
76,12,48,40,85,3,6,1,0,3,YES
82,9,49,0,65,8,1,1,1,1,YES
73,15,45,37,81,3,2,1,0,1,YES
82,9,48,38,83,2,2,1,0,1,YES
73,8,44,39,76,3,4,1,0,2,YES
76,10,40,38,81,3,2,1,0,1,YES
78,8,40,31,72,5,3,1,0,2,NO
20,3,39,29,86,2,1,0,0,1,NO
77,9,50,25,76,3,1,1,0,1,YES
65,8,52,41,76,2,3,1,0,1,YES
74,9,44,37,77,3,1,1,0,1,YES
56,9,46,39,81,2,2,1,0,1,YES
82,8,56,0,55,6,1,1,1,1,YES
76,7,42,40,87,2,1,0,0,1,YES
80,7,45,20,78,3,1,0,0,1,NO
81,5,42,31,72,2,3,1,0,1,YES
56,7,41,35,80,2,2,1,0,1,YES
82,18,54,34,81,11,2,1,2,2,NO
47,5,49,0,68,4,0,0,1,1,YES
69,5,46,31,82,3,1,0,0,1,YES
60,5,50,0,75,3,1,0,1,1,NO
52,3,53,0,60,4,0,0,0,0,NO
27,5,44,35,70,1,1,1,0,1,YES
60,5,39,32,80,2,1,0,0,0,YES
63,4,50,0,65,3,0,0,0,0,YES
71,3,40,0,62,2,1,0,0,0,YES
39,3,66,0,90,3,0,0,0,0,YES
71,3,40,22,84,1,2,1,0,1,YES
57,3,46,29,67,1,0,0,0,0,NO
44,3,35,36,71,1,0,0,0,0,NO
43,3,36,21,75,1,0,0,0,0,YES
43,3,36,21,75,1,0,0,0,0,YES
51,3,37,40,72,1,0,0,0,1,YES
12,2,30,17,58,1,1,0,0,1,NO
18,2,37,32,60,1,0,0,0,0,NO
53,18,51,17,69,7,1,0,1,2,NO
25,2,40,31,85,1,1,0,0,1,NO
82,19,44,38,88,4,3,1,0,3,YES
81,17,48,22,79,4,6,1,0,3,YES
78,16,46,39,85,3,3,1,1,2,YES
82,15,40,27,82,5,5,1,0,3,YES
82,10,42,37,77,3,5,2,0,2,YES
82,13,53,0,79,8,1,1,2,2,YES
82,11,50,0,69,7,1,1,1,2,YES
72,12,43,44,89,2,4,1,0,2,YES
78,6,42,28,68,5,2,1,0,1,NO
81,11,46,11,79,9,1,0,1,2,YES
77,8,45,40,83,2,1,1,0,1,YES
81,14,47,41,77,5,1,1,1,2,YES
75,8,42,37,70,3,1,1,1,1,YES
67,10,48,47,87,3,1,1,0,1,YES
61,9,56,0,64,7,1,0,1,1,NO
56,5,46,34,71,2,2,1,1,1,NO
66,7,39,37,85,5,1,1,0,1,YES
76,6,44,0,67,5,1,1,1,1,YES
77,6,40,33,78,2,2,1,0,1,YES
79,8,50,25,77,4,0,0,1,1,YES
75,7,49,0,66,4,0,0,1,1,YES
51,6,41,33,69,2,2,1,0,1,NO
53,4,63,0,39,5,0,0,1,1,YES
70,7,47,0,67,4,1,0,1,1,YES
68,5,39,35,79,1,2,0,0,1,NO
80,13,41,35,74,3,3,1,0,3,NO
44,5,46,25,82,1,1,0,0,1,YES
53,4,37,26,81,1,2,0,0,1,YES
59,5,42,35,70,2,1,0,1,1,YES
60,3,41,39,64,1,2,1,0,1,YES
48,5,51,0,71,3,0,0,1,1,YES
40,4,39,40,80,2,1,0,1,0,NO
19,3,29,22,50,2,1,0,0,0,YES
76,14,42,34,84,3,3,1,0,2,NO
60,3,52,0,69,2,0,0,1,1,YES
51,2,43,0,69,2,0,0,0,0,NO
37,2,37,40,86,1,1,0,0,1,NO
80,20,43,29,87,4,2,1,1,3,YES
80,11,43,28,74,5,2,1,1,2,YES
78,9,49,33,74,6,1,1,1,1,YES
79,13,43,33,74,5,1,1,1,2,NO
53,9,43,33,73,3,4,1,0,2,YES
73,8,38,31,78,4,2,1,0,2,NO
59,9,38,33,83,3,1,0,0,1,YES
79,6,37,19,80,4,1,1,0,1,YES
74,8,54,32,74,4,1,1,0,1,YES
74,7,48,0,69,6,1,1,1,1,YES
35,7,44,30,63,4,1,0,1,1,YES
57,8,40,19,81,2,3,1,0,1,YES
73,6,47,22,74,4,1,1,0,1,YES
73,6,54,0,61,4,0,0,1,1,NO
60,10,50,21,73,6,1,0,1,1,NO
42,8,62,0,66,5,1,0,0,1,YES
56,4,40,21,79,1,2,1,0,1,NO
75,8,44,40,82,2,1,1,0,1,YES
76,5,46,29,66,3,0,0,1,1,YES
69,5,48,0,66,3,0,1,0,1,YES
50,6,42,27,69,2,1,0,0,1,NO
71,5,46,19,66,3,1,0,1,1,YES
75,4,41,21,78,2,1,0,0,1,YES
51,5,41,33,86,1,2,0,0,1,YES
32,4,43,35,79,1,1,1,0,1,YES
57,4,53,42,64,2,1,1,0,1,NO
52,2,47,0,59,3,0,0,0,1,NO
26,4,56,0,68,3,0,0,0,1,NO
61,4,51,0,57,3,1,0,0,1,YES
70,1,38,17,44,2,1,0,0,1,YES
38,4,55,0,68,3,0,0,1,0,YES
38,3,41,0,64,2,0,0,0,1,NO
64,1,43,0,65,1,0,0,0,0,NO
14,1,26,23,0,0,0,0,0,0,NO
66,7,56,0,65,5,1,1,1,1,NO
57,17,46,38,84,4,4,1,0,2,YES
78,12,38,34,71,3,2,0,0,2,NO
78,11,42,36,73,5,1,1,1,2,YES
78,6,42,21,65,4,4,2,0,2,YES
82,10,43,37,85,3,3,1,0,2,YES
63,9,50,0,72,5,0,0,1,1,YES
48,8,46,28,80,2,1,1,0,1,NO
52,7,45,46,67,2,1,1,1,1,NO
82,7,53,0,62,5,1,1,0,1,YES
81,6,46,50,76,5,1,1,1,1,YES
82,7,53,33,67,5,1,1,1,1,YES
67,7,46,35,61,2,0,1,0,1,YES
79,7,40,28,85,2,3,0,0,2,NO
79,7,40,28,85,2,3,0,0,2,NO
60,5,42,42,72,2,1,0,0,1,YES
68,5,51,19,57,4,1,1,1,1,YES
29,6,46,29,71,5,2,1,1,1,NO
72,4,42,33,71,2,2,1,0,1,YES
47,6,39,41,76,2,1,0,0,1,NO
52,5,38,28,59,2,2,1,0,1,NO
42,6,41,39,90,1,1,0,0,1,YES
72,5,48,0,61,4,1,1,1,1,YES
59,4,54,0,66,3,0,0,1,1,NO
43,3,42,0,49,3,0,0,1,1,NO
81,8,41,34,73,4,1,1,1,1,NO
46,4,47,37,55,2,1,0,0,1,YES
56,5,53,0,68,1,0,1,0,0,YES
68,3,37,32,86,2,1,0,0,1,NO
58,3,51,0,79,2,0,0,1,0,YES
63,4,45,0,74,3,0,0,0,1,YES
56,3,54,0,60,3,0,0,1,1,YES
61,4,58,0,54,3,0,0,0,1,NO
41,4,43,35,84,1,1,0,0,0,NO
42,3,37,35,68,1,2,0,0,1,YES
29,4,31,29,85,2,1,1,0,1,NO
42,3,38,24,73,1,0,0,0,0,NO
61,3,56,0,67,1,0,0,0,0,NO
44,3,46,11,56,1,0,0,0,0,YES
44,3,46,11,56,1,0,0,0,0,NO
38,2,57,0,60,2,0,0,0,1,NO
35,2,36,33,100,1,0,0,0,0,YES
78,16,43,28,85,5,8,2,0,2,YES
80,12,39,36,73,3,6,1,0,2,YES
81,13,46,33,71,6,1,1,1,1,YES
80,9,40,36,70,3,3,1,0,2,YES
80,11,42,42,70,2,5,1,0,2,YES
63,6,53,10,68,5,1,1,0,1,NO
79,9,44,25,75,5,1,1,0,1,YES
65,12,48,33,83,6,1,1,1,2,YES
78,8,46,32,78,5,1,1,1,1,YES
61,8,49,33,75,5,1,1,0,1,YES
72,9,41,40,75,2,2,1,0,2,YES
61,10,42,38,90,2,1,0,0,1,NO
79,7,44,26,80,2,3,1,0,1,YES
81,6,47,35,63,3,5,1,0,2,NO
80,7,48,33,81,3,1,1,0,1,YES
49,7,42,34,71,2,2,1,0,1,YES
61,7,40,36,86,2,1,0,0,1,YES
79,8,45,37,74,2,1,1,0,1,NO
67,5,60,0,58,5,1,1,0,1,YES
67,5,60,0,58,5,1,1,0,1,NO
36,6,41,41,81,2,1,0,0,1,YES
80,3,40,23,66,2,2,1,0,1,NO
69,7,52,0,81,3,0,0,0,1,YES
66,4,38,28,78,1,1,1,0,1,NO
18,5,34,27,74,2,2,0,0,1,NO
59,3,51,50,78,3,1,0,0,1,YES
37,3,46,0,80,2,0,0,0,1,YES
68,4,44,0,66,2,0,0,0,1,YES
43,3,48,0,88,2,0,0,0,1,NO
39,2,36,7,50,1,0,0,0,1,YES
51,3,39,24,70,1,1,1,0,1,NO
23,3,37,25,75,2,1,0,0,0,YES
32,8,46,44,86,3,4,1,0,2,NO
39,2,25,19,94,1,1,1,0,1,NO
57,2,45,0,61,2,0,0,0,0,YES
46,2,40,0,30,2,0,0,1,0,YES
33,2,46,0,48,2,0,0,0,0,NO
73,15,45,0,61,11,1,1,2,2,YES
82,9,49,33,74,6,3,2,1,2,YES
82,12,52,0,67,10,1,1,2,2,YES
80,10,47,23,82,6,2,1,0,1,YES
74,10,46,17,69,6,2,1,2,2,YES
82,6,35,36,73,3,5,1,0,1,YES
76,10,39,29,69,2,2,1,0,1,YES
78,5,43,25,67,3,1,1,0,1,YES
79,9,46,31,68,2,3,1,0,2,YES
62,7,43,31,73,5,1,0,0,1,NO
68,7,39,25,79,2,3,1,0,2,YES
23,4,29,26,63,3,1,1,0,1,NO
82,7,53,42,79,4,1,1,0,1,YES
43,6,58,0,57,3,0,0,1,1,NO
80,6,44,23,70,3,1,1,0,1,YES
82,6,54,0,70,5,0,0,1,1,YES
77,6,48,39,74,3,1,1,0,1,YES
76,6,43,34,76,1,2,1,0,1,YES
46,5,41,0,64,4,1,1,0,1,NO
71,7,53,0,63,4,0,0,1,1,YES
25,4,36,30,78,1,1,1,0,0,NO
68,5,37,35,67,2,1,0,0,1,NO
62,4,43,33,70,1,2,1,0,1,YES
67,4,40,33,44,3,1,0,0,1,YES
39,5,43,36,70,2,1,1,0,1,YES
38,3,36,27,74,1,2,1,0,1,NO
36,3,34,25,63,1,1,0,0,1,NO
76,6,39,22,78,2,2,1,0,1,NO
38,3,39,27,69,1,1,1,0,1,NO
11,2,60,0,33,3,0,0,0,1,NO
45,3,39,20,66,1,1,0,0,1,YES
79,21,42,29,75,6,6,2,1,4,YES
82,21,43,32,78,6,3,1,1,3,YES
76,12,39,39,80,3,7,1,0,3,YES
61,16,47,30,75,4,5,1,1,3,YES
75,12,46,36,70,7,1,1,1,1,YES
70,10,40,31,79,4,2,1,0,2,YES
55,7,38,24,82,3,7,1,0,3,YES
73,7,40,36,63,4,1,1,0,1,YES
75,7,46,0,77,6,1,0,0,1,YES
67,9,43,30,70,6,1,1,1,1,YES
82,6,46,0,70,6,1,0,1,2,YES
37,4,36,30,72,1,3,1,0,1,NO
38,5,46,15,71,4,1,1,0,1,YES
47,6,39,44,63,4,1,1,0,1,YES
75,6,39,37,82,2,3,1,0,2,YES
56,9,49,31,77,3,2,1,0,1,YES
41,4,36,21,60,5,1,1,1,1,YES
81,6,40,31,76,2,2,1,0,2,YES
69,6,41,34,82,2,2,1,0,1,YES
53,7,40,31,73,1,1,1,0,1,YES
24,5,40,38,48,3,0,1,1,1,NO
57,5,38,26,79,1,1,1,0,1,YES
71,4,47,0,71,4,1,0,0,1,YES
35,4,48,0,75,3,1,1,1,1,YES
41,3,35,30,82,2,1,0,0,0,NO
74,5,35,39,79,2,1,0,0,1,YES
49,6,42,40,81,2,1,1,0,1,NO
36,4,46,0,44,3,1,0,0,1,NO
41,4,40,48,83,1,0,0,0,1,YES
72,2,43,33,71,2,2,0,0,1,YES
38,2,29,30,64,1,1,0,0,1,NO
54,3,45,37,89,1,0,0,0,0,NO
16,1,44,33,67,0,0,0,0,0,YES
78,15,42,32,82,5,3,2,0,3,YES
55,6,50,38,75,2,1,0,0,1,NO
82,14,47,20,66,9,1,1,1,2,YES
47,13,37,32,80,2,3,1,0,2,NO
70,13,46,29,71,7,1,1,1,2,YES
75,10,40,32,64,3,5,1,0,2,NO
81,10,54,0,77,8,1,1,1,1,YES
49,9,53,14,52,6,1,1,1,2,YES
82,5,36,25,65,3,3,1,0,2,NO
64,8,37,35,77,2,3,1,0,1,NO
33,5,41,32,76,3,1,1,0,1,NO
70,3,31,29,80,1,1,0,0,0,NO
59,7,39,27,79,3,2,1,1,1,NO
72,8,36,29,73,3,1,0,1,1,YES
67,3,47,0,52,7,1,1,0,1,YES
66,6,40,32,83,2,3,1,0,2,YES
75,6,42,22,78,3,1,1,0,1,NO
82,6,40,35,78,3,1,1,0,1,YES
82,6,40,35,78,3,1,1,0,1,YES
27,6,47,0,73,3,1,0,0,1,NO
72,5,37,32,69,1,1,1,0,1,NO
42,6,38,30,80,2,1,1,0,1,YES
52,5,50,0,70,3,0,0,1,1,YES
46,3,34,29,79,2,2,1,0,1,YES
35,5,43,0,70,2,1,0,0,1,NO
51,4,39,33,67,1,0,0,0,1,NO
55,5,47,0,68,3,0,0,0,1,NO
58,2,39,42,50,1,1,1,0,1,NO
51,6,51,18,69,3,1,0,1,1,NO
76,3,39,28,70,1,1,0,0,1,YES
39,4,43,25,68,1,0,0,1,1,NO
46,4,52,0,50,2,1,0,0,1,YES
50,4,41,36,81,1,2,0,0,1,YES
42,3,45,43,65,1,1,0,0,1,YES
48,2,29,0,59,2,0,0,0,1,NO
64,2,41,32,74,1,1,0,0,1,YES
36,3,38,28,70,1,0,0,0,1,NO
53,2,50,33,35,1,0,0,0,0,NO
57,5,41,32,79,2,2,1,0,1,NO
19,2,30,36,75,0,1,0,0,0,NO
78,14,43,37,70,5,3,2,1,2,YES
80,14,43,33,67,4,3,1,0,2,YES
80,9,38,24,70,4,8,2,1,3,YES
77,9,42,32,68,3,4,1,0,2,YES
78,9,43,36,76,3,2,1,1,1,YES
55,4,41,27,80,2,1,0,1,0,NO
73,9,37,33,74,6,1,0,2,1,YES
77,8,43,29,77,3,2,1,0,1,YES
47,11,45,35,78,3,4,2,0,2,YES
79,9,46,23,71,4,2,1,1,1,YES
67,7,40,12,84,2,3,1,0,1,YES
70,6,46,0,74,4,1,0,0,1,YES
62,5,49,0,61,5,1,0,2,1,YES
71,6,50,0,60,5,1,0,1,1,YES
77,5,42,50,70,4,1,0,1,1,YES
82,6,42,33,78,4,1,0,0,1,YES
68,4,38,19,64,3,1,0,0,1,NO
72,7,50,0,66,4,0,0,1,1,YES
36,5,37,26,78,1,3,1,0,2,NO
64,4,45,36,64,1,2,1,0,1,YES
57,5,39,0,71,4,1,0,1,1,YES
62,5,34,28,67,1,2,1,0,1,NO
35,2,35,25,73,1,1,0,0,1,NO
47,4,54,0,55,4,0,0,1,1,YES
40,3,43,33,75,1,2,1,0,1,NO
53,4,46,0,59,2,0,0,1,0,YES
60,2,34,0,73,2,0,0,1,1,YES
53,3,52,0,74,2,0,0,0,1,NO
54,3,43,0,50,2,1,0,0,0,YES
21,4,38,39,92,1,1,0,0,1,NO
41,3,45,0,67,2,0,0,0,0,YES
35,2,32,29,50,1,0,0,0,0,NO
39,5,57,0,55,3,0,0,1,0,NO
68,12,45,9,63,7,2,1,2,2,YES
48,13,47,22,80,8,1,1,1,2,YES
82,12,44,41,71,4,2,1,0,1,YES
81,9,51,5,52,6,1,1,2,2,YES
80,9,43,38,72,3,1,1,0,1,YES
51,9,39,0,67,4,1,1,0,1,NO
72,10,43,26,73,4,1,0,0,2,YES
77,8,43,34,72,3,2,1,0,2,YES
65,10,42,37,82,2,1,1,0,1,NO
59,8,44,0,79,5,0,0,1,1,YES
63,4,43,32,63,2,0,0,0,1,NO
78,6,43,27,74,3,1,1,0,1,YES
50,6,37,33,78,2,3,1,0,1,NO
76,8,44,33,63,3,1,1,0,1,YES
64,4,51,0,70,4,1,1,1,1,YES
61,5,35,35,79,2,2,1,0,1,YES
78,5,37,32,74,2,1,1,0,1,YES
80,5,45,0,60,4,0,1,1,1,YES
76,6,41,35,70,1,2,1,0,1,YES
78,5,40,29,71,2,3,1,0,2,YES
53,5,41,40,90,1,1,0,0,1,NO
42,4,49,0,74,2,1,0,0,1,YES
50,5,42,35,69,1,1,0,0,1,YES
55,5,51,17,72,1,1,1,0,1,NO
54,3,48,0,69,2,0,0,0,1,NO
25,7,41,28,77,2,3,1,1,2,NO
38,4,40,38,73,1,1,0,0,1,NO
70,2,49,100,70,2,0,0,0,0,YES
40,2,34,8,68,1,1,0,0,1,YES
81,20,48,0,69,10,2,1,2,3,YES
76,17,44,36,72,8,4,1,1,3,YES
77,18,45,35,79,5,7,2,0,4,YES
72,12,41,31,67,4,3,2,1,2,YES
73,12,51,36,83,4,3,1,0,1,NO
72,7,42,28,75,5,3,2,0,1,YES
82,11,45,20,77,3,6,1,0,2,YES
81,8,43,37,80,4,2,1,0,1,YES
72,8,40,26,66,6,2,1,0,2,YES
51,10,47,18,85,7,1,1,1,1,YES
75,9,41,33,75,3,3,1,0,2,NO
79,6,40,13,75,3,5,1,0,2,YES
81,8,42,29,81,2,4,1,0,2,YES
82,10,42,35,73,2,4,1,0,2,YES
71,9,42,36,77,2,2,0,0,1,YES
48,6,48,39,68,4,1,1,0,1,YES
45,12,40,35,81,4,3,1,0,1,NO
82,6,42,23,63,2,4,1,0,2,YES
77,8,48,18,75,4,1,0,0,2,YES
67,7,55,0,73,3,1,1,0,1,YES
71,2,42,0,49,4,1,0,0,1,YES
45,3,36,36,68,1,3,0,0,1,NO
74,4,37,37,73,2,1,0,0,1,NO
52,3,39,11,72,2,0,1,0,0,YES
46,3,43,0,63,2,0,0,0,1,NO
47,3,31,30,70,2,1,0,0,1,YES
75,10,46,0,61,8,2,2,2,2,NO
40,2,40,0,46,2,0,0,1,0,NO
59,3,31,29,67,1,2,0,0,1,NO
53,2,44,0,60,1,1,0,0,1,YES
49,3,39,34,66,2,0,0,0,0,YES
22,2,41,0,67,2,0,0,0,1,NO
50,13,37,31,75,3,6,2,0,3,YES
50,18,45,29,76,6,3,1,2,2,YES
50,13,43,20,75,3,7,2,0,3,YES
48,17,44,41,71,6,2,2,1,2,YES
82,9,43,26,55,4,7,2,0,3,NO
50,11,47,43,64,2,2,1,0,1,YES
28,6,50,0,72,10,1,1,1,1,YES
41,4,36,36,51,5,1,0,0,1,YES
49,10,43,36,82,2,3,1,1,2,YES
50,10,45,37,78,4,2,2,0,1,NO
47,10,45,30,59,6,1,1,0,1,YES
50,8,46,40,71,4,1,1,0,2,YES
25,12,49,25,70,6,2,1,0,2,NO
50,9,41,15,71,4,2,1,0,1,YES
49,5,54,0,54,4,1,1,1,1,YES
49,6,47,0,68,3,0,0,0,1,YES
42,4,33,17,75,1,2,1,0,1,NO
28,3,45,0,57,3,0,0,1,1,YES
24,5,36,40,82,2,2,1,0,1,YES
39,6,50,39,71,2,1,0,0,1,YES
67,8,37,34,65,3,3,2,0,1,NO
34,4,36,33,100,1,2,0,0,1,YES
26,5,74,0,50,3,0,0,1,0,YES
38,6,57,50,79,3,1,0,1,1,YES
46,5,41,17,76,2,1,1,0,1,YES
30,3,37,40,56,2,1,0,0,1,NO
31,4,38,21,68,1,0,0,0,1,NO
34,5,38,10,82,2,0,0,0,1,NO
22,3,38,17,67,1,2,0,0,1,YES
27,3,40,20,69,2,1,0,0,0,NO
24,2,29,26,75,1,1,0,0,1,NO
59,12,45,31,83,3,4,1,0,2,NO
35,3,44,0,78,2,0,1,0,1,NO
33,2,37,30,79,1,1,0,0,1,NO
24,3,41,17,71,1,0,0,0,1,YES
26,2,36,0,57,1,0,0,0,1,YES
62,20,43,31,85,7,2,1,0,3,YES
80,15,45,11,84,4,2,2,0,2,YES
80,9,44,0,80,3,8,3,0,2,YES
82,10,48,0,72,4,2,1,1,2,YES
82,10,48,0,72,4,2,1,1,2,NO
68,12,39,26,81,4,5,2,0,3,YES
77,10,42,34,84,3,4,1,0,3,NO
77,8,37,33,73,2,4,1,0,2,YES
66,12,41,20,87,3,3,1,0,2,YES
80,11,37,33,85,2,4,1,0,2,YES
74,8,42,21,66,2,5,1,0,2,YES
66,8,40,32,78,2,1,1,0,1,NO
65,8,45,21,70,5,1,1,1,2,YES
77,11,45,36,74,4,1,1,0,2,YES
80,10,45,33,78,6,1,1,0,2,YES
71,12,48,0,71,4,1,1,1,2,YES
52,10,49,14,68,5,1,0,0,1,YES
54,6,44,32,72,2,2,1,0,1,YES
58,6,37,25,62,1,2,1,0,2,NO
64,7,45,34,71,4,2,1,1,1,YES
38,4,35,36,68,2,3,1,0,1,YES
38,6,41,38,62,2,1,1,0,1,NO
74,4,43,0,69,3,0,0,1,1,YES
34,6,44,40,57,4,1,1,1,1,NO
32,7,41,11,65,5,1,1,0,1,NO
58,4,45,0,60,3,0,0,1,1,NO
35,4,38,0,70,1,2,0,0,1,YES
39,3,41,17,72,2,1,0,0,1,NO
54,3,49,0,76,2,0,0,0,1,YES
39,4,47,0,52,2,1,1,0,1,NO
45,3,36,38,71,1,2,0,0,1,YES
38,1,33,29,43,1,1,1,0,1,NO
40,4,42,33,84,1,0,0,0,1,YES
37,2,40,32,65,1,1,0,0,0,YES
76,24,42,34,70,4,8,2,0,4,YES
82,16,43,38,77,4,3,2,0,2,YES
82,18,43,33,63,9,3,1,1,3,YES
80,19,45,26,75,7,2,1,1,3,YES
67,16,41,35,73,3,8,1,0,3,YES
82,13,43,39,82,4,3,1,0,2,YES
63,15,48,14,69,6,2,1,2,2,YES
82,9,44,40,76,2,4,1,0,2,YES
77,7,48,25,59,6,1,1,1,1,YES
62,8,40,29,75,3,1,1,1,2,NO
68,8,57,0,70,7,1,1,1,1,YES
41,5,38,38,62,2,2,1,0,1,NO
65,6,46,51,69,3,1,0,0,1,YES
71,5,51,0,62,5,1,0,1,1,YES
71,8,42,38,82,2,1,1,0,2,YES
64,4,44,41,65,2,2,1,0,2,YES
57,5,55,0,61,4,0,0,0,1,YES
72,5,39,100,64,4,1,0,1,1,YES
50,9,41,37,76,2,2,1,0,1,NO
61,5,47,46,82,2,2,1,0,1,YES
43,5,44,0,65,3,0,0,1,1,YES
75,4,43,0,69,3,0,0,0,1,YES
68,5,52,50,72,2,1,0,0,1,YES
80,4,40,30,66,1,2,1,0,1,YES
57,3,42,20,57,3,0,0,0,0,NO
45,4,45,0,60,3,0,0,1,1,YES
54,3,48,0,61,3,1,1,0,1,YES
70,2,45,0,74,2,0,0,1,1,NO
65,6,35,31,59,3,1,1,1,1,NO
36,2,53,0,49,2,0,0,0,1,YES
35,2,53,0,55,2,0,0,0,0,NO
35,2,38,29,57,1,0,0,0,1,YES
35,3,55,0,57,1,0,0,0,1,NO
70,19,43,40,80,4,9,1,0,4,YES
82,15,48,33,75,5,4,1,0,2,YES
72,19,41,32,75,4,4,1,1,4,YES
82,15,46,36,77,9,1,1,2,2,YES
77,13,46,0,73,7,1,1,1,2,YES
80,11,41,37,78,3,6,1,0,2,NO
76,13,49,0,68,8,1,1,2,2,YES
80,10,49,29,71,6,2,1,2,1,YES
65,10,49,33,65,5,1,1,1,2,YES
79,10,47,42,81,2,3,1,0,2,YES
64,11,44,30,67,3,1,1,0,1,YES
74,9,50,0,66,6,1,1,1,1,YES
54,6,48,0,65,6,1,0,0,1,NO
79,6,44,0,60,5,1,1,1,1,YES
69,8,51,0,55,3,1,0,0,1,YES
72,5,44,27,69,4,1,0,0,1,NO
75,5,56,0,71,4,0,0,2,1,YES
42,6,40,40,77,1,3,0,0,2,YES
79,5,41,35,70,2,3,1,0,2,YES
69,4,57,0,66,3,0,1,1,1,YES
